,Unnamed: 0.1,Unnamed: 0,Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
0,0,0,1325317920,4.39,4.39,4.39,4.39,0.45558087,2.0000000193,4.39
1,1,478,1325346600,4.39,4.39,4.39,4.39,48.0,210.72,4.39
2,2,547,1325350740,4.5,4.57,4.5,4.57,37.86229723,171.38033753,4.5264114983
3,3,548,1325350800,4.58,4.58,4.58,4.58,9.0,41.22,4.58
4,4,1224,1325391360,4.58,4.58,4.58,4.58,1.502,6.87916,4.58
5,5,1896,1325431680,4.84,4.84,4.84,4.84,10.0,48.4,4.84
6,6,2333,1325457900,5.0,5.0,5.0,5.0,10.1,50.5,5.0
7,7,3612,1325534640,5.0,5.0,5.0,5.0,19.048,95.24,5.0
8,8,4553,1325591100,5.32,5.32,5.32,5.32,2.41917293,12.869999988,5.32
9,9,4710,1325600520,5.14,5.14,5.14,5.14,0.68,3.4952,5.14
10,10,4742,1325602440,5.26,5.26,5.26,5.26,29.31939163,154.21999997,5.26
11,11,4780,1325604720,5.29,5.29,5.29,5.29,29.30245747,155.01000002,5.29
12,12,4878,1325610600,5.29,5.29,5.29,5.29,11.28544423,59.699999977,5.29
13,13,4882,1325610840,5.14,5.14,5.14,5.14,0.02,0.1028,5.14
14,14,4894,1325611560,5.29,5.29,5.29,5.29,11.0,58.19,5.29
15,15,4895,1325611620,5.29,5.29,5.29,5.29,4.01081466,21.217209551,5.29
16,16,5545,1325650620,4.93,4.93,4.93,4.93,2.32,11.4376,4.93
17,17,5593,1325653500,4.93,4.93,4.93,4.93,9.68,47.7224,4.93
18,18,6049,1325680860,5.19,5.19,5.19,5.19,2.6416185,13.710000015,5.19
19,19,6065,1325681820,5.19,5.19,5.19,5.19,8.72447013,45.279999975,5.19
20,20,6227,1325691540,5.19,5.19,5.19,5.19,16.34472603,84.829128096,5.19
21,21,6241,1325692380,5.32,5.32,5.32,5.32,0.18609023,0.9900000236,5.32
22,22,6242,1325692440,5.32,5.32,5.32,5.32,10.39473684,55.299999989,5.32
23,23,6248,1325692800,5.36,5.37,5.36,5.37,13.62942272,73.060000006,5.3604618117
24,24,6359,1325699460,5.37,5.57,5.37,5.57,43.31219578,235.74706937,5.4429720112
25,25,6828,1325727600,5.72,5.72,5.72,5.72,5.0,28.6,5.72
26,26,6960,1325735520,5.75,5.75,5.75,5.75,5.2,29.9,5.75
27,27,7167,1325747940,5.75,5.79,5.75,5.79,14.8,85.5,5.777027027
28,28,7266,1325753880,6.0,6.0,6.0,6.0,2.23666667,13.42000002,6.0
29,29,7271,1325754180,6.0,6.0,6.0,6.0,0.1684827,1.0108962,6.0
30,30,7316,1325756880,6.15,6.15,6.15,6.15,10.0,61.5,6.15
31,31,7336,1325758080,6.19,6.19,6.19,6.19,0.57189015,3.5400000285,6.19
32,32,7338,1325758200,6.19,6.23,6.19,6.23,16.0,99.285718902,6.2053574313
33,33,7376,1325760480,6.23,6.25,6.23,6.25,14.0,87.42,6.2442857143
34,34,7408,1325762400,6.46,6.46,6.46,6.46,0.77399381,5.0000000126,6.46
35,35,7409,1325762460,6.46,6.46,6.46,6.46,0.17801857,1.1499999622,6.46
36,36,7416,1325762880,6.43,6.43,6.43,6.43,0.31104199,1.9999999957,6.43
37,37,7515,1325768820,6.44,6.44,6.44,6.44,0.31055901,2.0000000244,6.44
38,38,7546,1325770680,6.43,6.43,6.43,6.43,0.46656299,3.0000000257,6.43
39,39,7599,1325773860,6.42,6.42,6.42,6.42,0.31152648,2.0000000016,6.42
40,40,8098,1325803800,6.43,6.43,6.43,6.43,0.31152648,2.0031152664,6.43
41,41,8143,1325806500,6.44,6.44,6.44,6.44,0.46656299,3.0046656556,6.44
42,42,8147,1325806740,6.47,6.47,6.47,6.47,0.95201238,6.1595200986,6.47
43,43,8149,1325806860,6.65,6.65,6.65,6.65,20.77744361,138.17000001,6.65
44,44,8151,1325806980,6.65,6.65,6.65,6.65,1.46627565,9.7507330725,6.65
45,45,8154,1325807160,6.65,6.65,6.65,6.65,0.49926578,3.320117437,6.65
46,46,8530,1325829720,6.65,6.65,6.65,6.65,1.42549766,9.479559439,6.65
47,47,8532,1325829840,6.69,6.73,6.69,6.73,6.31,42.36385832,6.7137651855
48,48,8968,1325856000,6.8,6.9,6.8,6.9,9.31055901,63.611801268,6.832221481
49,49,9089,1325863260,6.76,6.76,6.76,6.76,0.29585799,2.0000000124,6.76
50,50,9104,1325864160,6.5,6.5,6.5,6.5,0.5,3.25,6.5
51,51,9105,1325864220,6.49,6.49,6.49,6.49,1.54083205,10.000000005,6.49
52,52,9165,1325867820,6.4,6.4,6.4,6.4,0.5,3.2,6.4
53,53,9247,1325872740,6.4,6.4,6.4,6.4,1.55038759,9.922480576,6.4
54,54,9248,1325872800,6.4,6.4,6.4,6.4,0.83875968,5.368061952,6.4
